,Latitude,Longitude,COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa,COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
26,55.342079162597656,137.8281097412109,3.294586811950564e+18,181.40370178222656,210.33920288085935,230.98080444335935,240.29693603515625,221.3651885986328,174.5795135498047,128.27308654785156,89.90894317626953,38.22780227661133,18.239997863769528,263.91455078125
27,55.55456161499024,137.9600830078125,3.4222282921853583e+18,196.08361816406247,233.23374938964844,253.3350982666016,254.97337341308597,223.4284820556641,167.08375549316406,121.19164276123045,87.42881011962889,38.3448600769043,18.32218742370605,266.4766845703125
28,55.76658630371094,138.09506225585935,3.498455234315813e+18,175.02223205566406,197.44464111328125,211.51472473144528,227.11405944824216,238.85363769531247,225.8076171875,182.8033905029297,117.49900817871092,41.51588439941406,18.371299743652344,266.50830078125
29,55.978641510009766,138.23345947265625,3.7320156933112463e+18,190.21597290039065,227.4669952392578,246.964599609375,262.1628112792969,262.17926025390625,224.4734039306641,167.02767944335935,107.98168182373045,40.88464355468751,18.424474716186523,268.5455322265625
30,55.400821685791016,137.4020843505859,3.4641897790698947e+18,163.91339111328125,182.73287963867188,200.4599609375,222.44755554199216,241.0062713623047,233.8548126220703,191.3678741455078,120.9372100830078,41.9212303161621,18.420658111572266,263.7116394042969
31,55.61042022705078,137.52972412109375,3.4926085812351135e+18,176.87545776367188,199.40904235839844,213.99526977539065,229.49118041992188,238.90235900878903,224.11524963378903,180.99526977539065,116.33929443359376,41.518062591552734,18.4111442565918,267.4841003417969
32,55.81959915161133,137.66018676757812,3.5061292757218755e+18,182.16909790039065,206.63868713378903,218.2254180908203,231.45556640625,240.24362182617188,225.5912933349609,182.87939453125,117.21612548828124,41.65644073486328,18.39937400817871,268.6169128417969
33,56.028831481933594,137.7938232421875,3.330521325847445e+18,184.8760223388672,211.98321533203125,221.1397857666016,227.51423645019528,224.33889770507807,198.90191650390625,157.7395782470703,106.6111831665039,40.837928771972656,18.39667320251465,267.5247802734375
34,55.533329010009766,136.5918426513672,2.1438918183899628e+18,178.08831787109375,190.01593017578125,170.68544006347656,139.39199829101562,106.2348861694336,80.5029067993164,65.6069564819336,58.21163177490234,32.048789978027344,17.28312301635742,265.7711181640625
35,55.75768661499024,135.07188415527344,2.52396742446678e+18,172.26922607421875,173.1586761474609,188.2793426513672,193.7496032714844,183.4763336181641,158.2080841064453,127.21082305908205,95.0335693359375,41.11931228637695,18.49828720092773,257.2481689453125
