Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-137T12:10:18.8947Z [May,27.227,85.348,46875,85,3,7,113728
2023-137T12:10:20.7459Z [May,27.268,84.851,131479,75,6,16,113728
2023-137T12:10:21.3454Z [May,27.147,85.317,71487,410,7,11,113728
2023-137T12:10:23.6660Z [May,27.235,85.435,45487,225,5,7,113728
2023-137T12:10:24.4698Z [May,27.464,84.536,191029,338,7,15,113728
2023-137T12:10:24.8030Z [May,27.369,85.119,1242881,1104,46,130,113728
2023-137T12:10:25.4709Z [May,27.309,84.879,51846,118,4,9,113728
2023-137T12:10:26.4195Z [May,27.396,84.534,46070,232,2,6,113728
2023-137T12:10:29.8250Z [May,27.104,85.206,39702,239,5,6,113728
2023-137T12:10:30.2190Z [May,27.597,84.647,18123,0,1,2,113728
2023-137T12:10:30.3299Z [May,27.395,84.551,54004,189,4,7,113728
2023-137T12:10:31.6103Z [May,27.103,85.258,17989,0,1,2,113728
2023-137T12:10:33.1710Z [May,27.691,84.637,139134,283,5,11,113728
2023-137T12:10:34.3172Z [May,27.212,85.388,31649,0,1,3,113728
2023-137T12:10:35.1890Z [May,27.475,84.540,126026,62,3,6,113728
2023-137T12:10:35.2749Z [May,27.134,85.300,47672,162,2,7,113728
2023-140T11:20:30.6396Z [May,27.888,84.537,9936,7,2,2,104753
2023-140T11:20:41.0848Z [May,27.938,84.577,1016627,161,13,72,104753
2023-140T11:20:50.0819Z [May,27.875,84.506,88763,227,5,12,104753
2023-140T11:20:51.6018Z [May,27.961,85.094,411612,200,12,42,104753
2023-140T11:20:56.6067Z [May,27.934,84.500,47798,58,3,6,104753
2023-140T11:21:13.1517Z [May,27.886,84.593,1370651,574,18,72,104753
2023-140T11:21:31.9860Z [May,27.947,85.055,275564,277,8,21,104753
2023-140T11:21:34.4386Z [May,27.888,84.522,143397,180,5,14,104753
2023-140T11:21:36.8630Z [May,27.853,85.306,64036,32,2,5,104753
2023-141T10:31:57.9646Z [May,27.344,85.289,200956,123,3,17,100029
2023-141T10:31:59.2143Z [May,27.329,85.374,237051,193,9,20,100029
2023-141T10:32:04.4080Z [May,27.301,85.360,213803,745,18,31,100029
2023-141T10:32:09.3962Z [May,27.322,85.320,389904,139,8,30,100029
2023-141T10:32:10.5403Z [May,27.312,85.375,278523,162,11,31,100029
2023-141T10:32:14.5150Z [May,27.318,85.358,61216,0,1,4,100029
2023-141T10:32:19.0696Z [May,27.302,85.387,255737,322,13,29,100029
2023-141T10:32:24.7642Z [May,27.288,85.361,61630,10,2,6,100029
2023-141T10:32:26.9736Z [May,27.340,85.361,169311,205,5,16,100029
2023-141T10:32:30.6830Z [May,27.300,85.378,55267,198,6,6,100029
2023-141T10:32:33.4311Z [May,27.328,85.329,19850,55,2,2,100029
2023-141T10:32:35.9129Z [May,27.275,85.388,200437,152,4,15,100029
2023-141T10:32:38.7902Z [May,27.334,85.312,149425,202,7,16,100029
2023-141T10:32:43.7859Z [May,27.303,85.397,330588,578,11,28,100029
2023-141T10:32:46.5631Z [May,27.379,85.400,159035,112,4,11,100029
2023-141T10:32:49.6800Z [May,27.297,85.383,38207,2,2,4,100029
2023-141T10:32:52.2955Z [May,27.326,85.312,47486,127,2,5,100029
2023-141T10:32:55.7546Z [May,27.286,85.359,73550,100,2,6,100029
2023-141T10:33:00.7910Z [May,27.291,85.393,122707,265,9,14,100029
2023-141T10:33:08.8094Z [May,27.344,85.382,55924,21,2,5,100029
2023-141T10:33:12.0574Z [May,27.286,85.392,89673,184,3,7,100029
2023-141T10:33:17.8171Z [May,27.313,85.308,118078,39,2,9,100029
2023-141T10:33:20.8445Z [May,27.285,85.373,59490,211,5,6,100029
2023-141T10:33:32.4988Z [May,27.294,85.342,10810,0,1,1,100029
2023-145T08:54:44.5784Z [May,27.435,85.228,61090,80,5,8,82328
2023-145T08:54:50.7173Z [May,27.427,85.250,216962,172,6,18,82328
2023-145T08:54:54.6548Z [May,27.461,85.311,32210,162,4,6,82328
2023-145T08:54:54.6654Z [May,27.423,85.291,197286,127,5,23,82328
2023-145T08:54:56.7995Z [May,27.423,85.211,59778,145,3,5,82328
2023-145T08:55:07.7397Z [May,27.427,85.303,582291,544,12,55,82328
2023-145T08:55:08.7210Z [May,27.667,85.234,284206,438,11,25,82328
2023-145T08:55:08.9607Z [May,27.844,85.360,4348247,759,44,219,82328
2023-145T08:55:25.1619Z [May,27.528,85.210,139071,44,8,14,82328
2023-145T08:55:26.8363Z [May,27.405,85.282,93190,46,5,15,82328
2023-145T08:55:30.6878Z [May,27.420,85.309,59855,392,4,9,82328
2023-145T08:55:39.3858Z [May,27.427,85.294,171015,206,5,15,82328
2023-145T08:55:45.1116Z [May,27.422,85.299,47233,7,2,6,82328
