Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-137T12:09:34.5933Z [May,27.113,85.191,68004,340,7,11,113728
2023-137T12:09:35.8233Z [May,27.302,84.345,135307,381,13,22,113728
2023-137T12:09:35.9500Z [May,27.123,85.127,109585,288,12,15,113728
2023-137T12:09:36.0862Z [May,27.440,84.463,251420,379,14,26,113728
2023-137T12:09:36.2690Z [May,27.262,85.620,533279,275,18,55,113728
2023-137T12:09:36.3369Z [May,27.151,85.360,89527,291,6,14,113728
2023-137T12:09:36.9942Z [May,27.253,85.401,84344,277,5,12,113728
2023-137T12:09:37.4364Z [May,27.375,84.346,52612,152,4,8,113728
2023-137T12:09:37.5796Z [May,27.530,84.562,1089855,972,34,97,113728
2023-137T12:09:37.9499Z [May,27.170,85.145,499886,297,4,20,113728
2023-137T12:09:38.1881Z [May,27.383,84.530,42015,94,6,8,113728
2023-137T12:09:38.2614Z [May,27.712,84.637,40093,542,5,8,113728
2023-137T12:09:38.8147Z [May,27.238,85.431,43664,73,3,6,113728
2023-137T12:09:39.0835Z [May,27.147,85.052,192855,173,6,17,113728
2023-137T12:09:39.5829Z [May,27.404,84.497,34560,3,2,4,113728
2023-137T12:09:39.8387Z [May,27.315,84.532,467361,386,32,64,113728
2023-137T12:09:39.9588Z [May,27.174,85.307,103407,326,6,14,113728
2023-137T12:09:40.0608Z [May,27.501,84.470,326707,388,10,28,113728
2023-137T12:09:40.1040Z [May,27.413,84.578,72902,438,9,11,113728
2023-137T12:09:40.2382Z [May,27.303,84.842,32605,182,2,4,113728
2023-137T12:09:40.4674Z [May,27.047,85.152,54974,114,6,9,113728
2023-137T12:09:41.1568Z [May,27.665,84.469,70243,345,8,13,113728
2023-137T12:09:41.3467Z [May,27.600,84.359,358820,440,17,50,113728
2023-137T12:09:41.6703Z [May,27.059,85.196,49491,141,3,8,113728
2023-137T12:09:41.7080Z [May,27.302,85.615,551914,560,25,56,113728
2023-137T12:09:41.7799Z [May,27.334,85.496,10847816,2184,181,850,113728
2023-137T12:09:41.9407Z [May,27.301,85.445,289205,4,3,22,113728
2023-137T12:09:42.2346Z [May,27.674,84.864,62020,123,3,7,113728
2023-137T12:09:42.4245Z [May,27.416,84.555,94013,53,3,8,113728
2023-137T12:09:42.4491Z [May,27.528,84.584,145202,186,6,17,113728
2023-137T12:09:43.4430Z [May,27.246,85.403,36721,92,2,4,113728
2023-137T12:09:43.5666Z [May,27.111,85.136,393424,357,6,24,113728
2023-137T12:09:43.8385Z [May,27.695,84.673,177288,259,14,28,113728
2023-137T12:09:45.8027Z [May,27.267,85.621,610838,594,15,57,113728
2023-137T12:09:45.8223Z [May,27.139,85.089,662457,420,15,49,113728
2023-137T12:09:46.1198Z [May,27.860,84.842,33944,289,4,7,113728
2023-137T12:09:46.1982Z [May,27.122,85.278,126509,202,9,21,113728
2023-137T12:09:47.8369Z [May,27.041,85.217,109554,169,2,8,113728
2023-137T12:09:48.4203Z [May,27.188,85.300,189052,248,9,23,113728
2023-137T12:09:49.1042Z [May,27.276,85.402,801149,657,21,58,113728
2023-137T12:09:49.9424Z [May,27.328,84.319,38284,85,4,6,113728
2023-137T12:09:50.1178Z [May,27.418,85.711,13916753,2648,229,1040,113728
2023-137T12:09:50.6412Z [May,27.069,85.147,79184,295,5,11,113728
2023-137T12:09:50.8094Z [May,27.230,84.313,72222,171,3,8,113728
2023-137T12:09:51.7135Z [May,27.223,85.422,73731,84,4,8,113728
2023-137T12:09:51.8280Z [May,27.577,85.656,9149776,944,76,537,113728
2023-137T12:09:52.3490Z [May,27.663,85.663,5893533,1099,32,307,113728
2023-137T12:09:52.4027Z [May,27.650,85.539,1061795,760,13,77,113728
2023-137T12:09:52.4333Z [May,27.588,85.548,629572,723,12,47,113728
2023-137T12:09:53.1438Z [May,27.532,85.693,214671,17,2,18,113728
2023-137T12:09:53.1941Z [May,27.380,84.486,139914,420,10,18,113728
2023-137T12:09:53.6884Z [May,27.248,84.371,75380,166,4,10,113728
2023-137T12:09:53.9532Z [May,27.237,85.330,198170,250,11,24,113728
2023-137T12:09:54.5527Z [May,27.241,85.600,361218,179,9,32,113728
2023-137T12:09:55.3120Z [May,27.074,85.150,43311,250,3,5,113728
2023-137T12:09:55.6557Z [May,27.421,84.565,175653,270,6,13,113728
2023-137T12:09:56.9271Z [May,27.477,84.468,169345,390,10,19,113728
2023-137T12:09:57.1115Z [May,27.387,84.305,87560,139,6,10,113728
